case_id,run_seed,selected_action,selection_reason,phase1_fes,phase2_consumed_fes,terminal_fes,final_error,elapsed_seconds,phase1_checkpoint_hash,receipt_sha256
E1,117,smp,complete_zero_relation_blocks,180000,2820000,3000000,72195.19251439234,1267.47927,7007e3ecdecc81efb6edad1eca521bd06e8cd9bf18fd7fec61db20b4801ac486,7e58d2edfd2a1eab3ada9946b01ee2f48e00d23f5a7c0c17c345fe0922d382a0
E2,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,7917146.394843522,1259.67009,bd8727aebf1c721d5a88a5415627fc54e2a494d0846846e8d67b303a51fa76fe,1740afca5e982b84373fdaf920e6a0c809de96291603ffa432ce938d58583a06
E3,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,16623001.154497024,1296.649791,f00e18942a80c61c2dbf679d23aae2311c7e2e1e207b10bea40bd8affdda9af2,dc59e4d6f79c0c2217db640b1be5f0c109be7bc087eef59af33d18ae500bdf3b
E4,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,34315581.74373955,1327.777892,f908b91edd4b20a40eef153797c0b046af8f7de71e218744096e9d0fb86e2f3e,7ccc7631808d918c18991f705f67446ddf16381635b3248979507f2a27a22170
E5,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,63259818.59559164,1337.697722,14f18bf9b7e5963263d64f0b36010d78f4e1be513c123f1178955ce748c24993,35ac0408a5ed22badd89bd8992046de5a2abc26f42780fa706e287132e2da182
E6,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,119003363.03827333,1397.603597,369d451c0bbfd44c2d83349334f83193e8e562437f1877bb859646e75d45b075,6de6d22e9e3cb864dce2048ef7e510c2f960b73b61d70d748200feaef99dceab
S1,117,smp,complete_zero_relation_blocks,180000,2820000,3000000,4.6048988737968555e-08,1239.718164,7e7e9fe47728a789c6829c8f3c1940865c6f846c787bdcf094692be1905a8270,62fe066e07dc2380a6349c8a9bb6b6f1f51bfc14e64891d643eb1fea12ffaa9a
S2,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,9654.789585047887,1192.356459,3fd6bb3d48a015e2502d6cbaf7da0be1f33a573f7036911e2a03745b1d4e373f,5147324f4adf7e4946cad49f707f73bae94a0c9491e3f8e8b89b5cbfd67422d4
S3,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,6998.285158510466,1211.241493,704d2709df1ecd2ea836ab48b4233e066eaae16ed2717065455736818aba08cc,e3132baefaec81498a193a0750ff30f61b0be21498ccf4c84812f38cc6b48937
S4,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,24109.514787211192,1225.131413,59cf961783b4eb38c7edb26b8814d318b6948cd1fa8407a7e7ec00b11d885cd0,2e3e355ff991d21b213211c52fca66527b096d16a7bd627653b0e5758456022b
S5,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,51432.027470063345,1273.830088,da98958a8d23a79e333a8702950c124efb9230ffec4d2a900369ca79cdbc9c6d,8979896bb9abf0c4f24963e4b8d90422a8ad20249ee678f09d9c959ccabc907b
S6,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,88973.45546437394,1308.253875,4c1c0a1377a2d1dc17cd5b313fba8a32dff0083464f6a8053326b5252bda419f,8bd234fa8fcae943f309dee5d0add45364f155bc5cd14e0495aead48412bfea9
R1,117,smp,complete_zero_relation_blocks,180000,2820000,3000000,181426.61768256154,1200.260845,9bbda93d2e42cb9ab5d3900a928a72359200d7981a9c0ffb570a31c298ab6d7e,fb856e7f9a7650b5663696b56292e1e6c1b4c4a513fc2cf9978ceef74b46e91b
R2,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,210493.839903218,1187.751236,02d8a2d691b7ec74a5fc00eb0050e7ccc6581e193d2409a051783a288ac11a6c,16863d7dd0219e9d4346ee035487dce28c06d6fa637e93f4201fc3bc8b9dea3e
R3,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,255048.5388032888,1234.041358,be90409b3fbdc007a487aba9ee9ac8676c76844f6a5b913bab32e02a23cd7ec2,1600a202de8a9808c5fcbb6ffc6e6d8880323f6632b088c4aff2437b0230ad51
R4,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,273241.3064777297,1225.852358,0032e6571ab03a13f15bd66ab84b06d69073e03f5c4d11ee225d2e8392c96821,bfbff0b53aec004bdfd425cd936f3a1307df471c301717f917be5dd053f94225
R5,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,375603.32909737696,1265.233936,9930fd657c58fe3f2a879cf364f1b115a37cee68f9704fbd154b4cd2e5300aea,84b5221f8719a27cf9f2f0b7b82319f4da349332ca1b7d80cea6eccd8a8cec8b
R6,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,351019.91517908056,1321.511288,66f1e1bb1bd641615b80002621646dc654af4caa857c264e1e2cca6800060a9e,485a9c217ce5815e07f0731fae33c896aaf393e41ce4422dadcdd14e20e145d5
A1,117,ctp,complete_disconnected_relation_cover,180000,2820000,3000000,77738.69579126978,1820.104486,637dd63cfa2f19a1b69c568efcbf351d3089a7a7412d999ee0d9cdd964022270,c0c3bfff47d03b9f10a74e0847c4ec58ec828b017604b01371b91675b437b431
A2,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,78596.34722800886,1266.680133,cc7bb7ec28e1937d070e905eb332b676485a4038e2590c54203359a7129a8cd2,cfe9549904742f37bed81b5dc1e88b8151301c7de180879bfcf7e7cd31fbabac
A3,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,78697.42207495375,1276.224411,3370a68978196f3fe39d726bcbba9de2c782611413ae08d2fc7c84da4b9f6d27,01883a673d11c9532ec3956228763945e9f5767799574d7649446ad0a90d251f
A4,117,ctp,complete_disconnected_relation_cover,180000,2820000,3000000,78851.7666408704,2471.805644,d4bfa66343d844c063610822bdc8e71420a1d1364f512550a08a105ee81ec397,3f577ed9bc1af6f4efca4a13c00585597b369b21437fa81f5af27a4953872bd7
A5,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,79708.38315018515,1400.122999,46db7c266d1a469cca8862c5d4a20a1f3eec503ddf4f5a7500294a148f7e91b7,1a4db72bfa68a34ac264ef1fb3759551ba23879d32e295dc169f907cc1c751bf
A6,117,gcb,complete_connected_relation_graph,180000,2820000,3000000,78711.21959981261,1392.264205,a0d15a7f3d5930ecac7bac3792f545e89319ab430a82b1e387f872a72b6f254b,99fc36cb48091f64917792e1464ec11b164ba5af1c6ab616ec8fb4ab640d8b47
E1,118,smp,complete_zero_relation_blocks,180000,2820000,3000000,993890.496637762,1253.047161,e139c8026ba6527e8322da5f4eff94e5e1eac9e29b9c74b3a8ca46bcc2eee8dc,2b6af678e6977d82daafabf656cee36ebe9feea54dd7c25a591f62f10b158008
E2,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,7303261.194086741,1271.233077,ea209fd3229f42c1641f9c7467d220ef66f8bc6ba192d8ac9638d887ea326dca,dc012e538f25b90467211090dbf614442ef838eafdc677b9eec7a0c1bb5cf999
E3,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,71219161.86733969,1279.317032,193edb3bbfa7fd4f2a6e7c2ac17fbe78d8e0d3aeb45dad0a493eb0127d33e636,3589c6e6646ba6f7e43b6584417ec6a9aa41d9c1d6113e6547c49bf50c2d8984
E4,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,49106383.32987727,1321.279997,20a4d4877ae919798e8beef25d54b3fe565d6147809d406f8bf9987bee31211a,c701f3201aee2f797c72827abfe7b243aff5a54af175f236c691efcce2c49912
E5,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,55759186.57867003,1335.107444,ac3c029a1d80c64cc54b95f5e3a270106494f7196b1ca76f78f4e2171019dc0f,f2da206f0e0536a9edcb43617f4524c4d87c842c30a2dd29f7e48829400f1216
E6,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,138591761.32683662,1380.66128,f89810bdb1c886b01e5e1161bb83e96356e62a0f75e2b54ed9e5ee9d7bc001b2,158150273211bc43e6b74c95c495d98be66beed860cacd06ee7fec55d034093f
S1,118,smp,complete_zero_relation_blocks,180000,2820000,3000000,8.645880143273783e-05,1249.786425,c868591de8652b4a1e616331694e317f676a01a9088e40e7dedcca629d78f4ed,69b922f4b39014aaca6779d9a49a8453bf51225d1b0f7f5c4a7003948818b7b5
S2,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,21492.856855323673,1190.766376,adaea72a809820b60e9c5cf9d6b7033f53cd2c2b73302633b700b8817184ddb7,8a86a791f0ed4c05d0647c8f55bc5920cac9398706a4bed98387f88865b9f173
S3,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,76446.98690389149,1234.339557,867f6ba0346a2153d4f86343f228bd1180d66b026bdb4e687c696e63b90b1c7e,7fc04cfbdf84d50d8f7546d049a728f252ecf2ed7ac4756314c17153e16198d0
S4,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,170334.77015643206,1253.620385,ac626d65c7bd9255a0d262e10782c8f276f30d49c6063c7cead803c86f12ab52,56d514e2d8cdaedb5c173750dd95dd078ed94a5e5a356d040556d04cd42b60f9
S5,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,44433.50319291413,1283.786245,ca15135d41742e7c0be871b273d0d7bdf3ced85a38525ac9b6f583d4c5aff2f3,4100218158d8e6a32119bbf73851b6c038c56c8de72b088a9379f7e574ac0b7b
S6,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,89390.70408176987,1328.279693,51a3100f41b499f5cb442e61dae2286cc60f232516a6dbfb722245859d6072ff,a1a0373a4ac8765958a9a6a0da20fe7cc620587c4f37b601fce962238294d7c1
R1,118,smp,complete_zero_relation_blocks,180000,2820000,3000000,163702.06899108645,1206.749855,64368e0d70991f797945363be596d31164c18c616ad072269911d4f3f44faf5e,560c197a071ddae78ac462de3ba9ec3a62922b007347105c57249b8c84e3d9b3
R2,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,210804.76952517155,1185.945151,5e1e1777b1a2716c2c26c139126fdfac4b81517312e83353d549b9e994e146bc,02cf9f48ed45b666987edc5efdd06cfcd7d9cb6837f40a8a591ff8efb7e5502a
R3,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,272585.02703814505,1191.745577,9256e31b5b68f26a86e0e854a34d53893fb6199d42f780f0c73de82fddf58e9f,00384dede0d8b3e86de549ebcd4524ec709e1ceeff45ee2d6263da3fc4fcc141
R4,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,272288.4454325888,1242.665248,ec21ece1f8dd5c8a74eef61cbdabb9e1c0a29f0a304086b53a7bdd277e907d43,09a33727a2ffb493327e1c496b7f3555a24d10ef604c21cb78f929842926cd65
R5,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,380026.3752796175,1266.541034,7a2e136c48c1319a4a1395b8c0e38f9a86e9c92ce4e60acbb55981cfe9a67ca5,f3607b2ab2a1ba9dfc932d9afc74a90195b5e5d95cc0a09075d28bbf3775bbee
R6,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,452336.1719892639,1285.299287,ee6d5594c9255d1888ac32e840a09bb61a27e472edfb95b1efddda435600efa1,a49a6bc92a930a6b2550d71059185a20fa46a1a58dae094b22e11d2847a9b299
A1,118,ctp,complete_disconnected_relation_cover,180000,2820000,3000000,77770.20385128596,1800.648919,474ed2e407f0c727f26c7a0f9d9d4289194ed5ccaca4524097b03e8eba367155,2bb3caa587ca7750ef1304306fadf9756999b572b35a8555655b753d68968f40
A2,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,78719.8621832058,1262.122861,3824786f98dd0d74409dca505f88503f34d0dbfbae53e07c42e14ed6205ce58c,9d14ac7f653383b0bd0cd46d95cb8c6c8d237f22adb6130c757d01cc5e010193
A3,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,78972.4655755002,1270.537845,7d1591029a90f426a6ab7ff00fe920059f3af4d3081606a0cdc7d0c000629026,0167ad887cb5ead4f12e6f7c9fa5505eb9c85d18f9aadc8296dddd92cf0bb7b1
A4,118,ctp,complete_disconnected_relation_cover,180000,2820000,3000000,78944.32258340837,2394.377088,01e1d75b0b63d8f94dfadbee6f356c223f45134c75a9f5803453e050d3d238cc,635621edd651cdf61a9924d63c69bad2d3113a5fafd283d7a3c0c320aed6869b
A5,118,gcb,complete_connected_relation_graph,180000,2820000,3000000,78924.65631685464,1360.560215,50bf117251a1a457b5fda6335e9b2b6e680c4a9866e5f339dbe92b02dcdb478d,ec09e621c6b85f570dc3c471733e202b58fda98c06b6bf787ee6a460654c795f
A6,118,ctp,complete_disconnected_relation_cover,180000,2820000,3000000,78923.7243800034,2488.514359,f782f30a6d00910bb46d7b737a31625645bbddeaf933766b46a608c8a253d151,15e0622df9b454e821907cf462a1c3d4f27f94a9fb643e78dd75d84dcae27c42
E1,119,smp,complete_zero_relation_blocks,180000,2820000,3000000,340044.6402329883,1302.00901,81aa34b372ce6c20b8a824103a1a605865098dcb9c48bd21440bd487097c2e2f,4356071420cc16a7b07a9663f5ebea39579ab6c88ef409d34ebec53e5455af85
E2,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,10345553.639911648,1280.331481,1ff82a02f66432fbe5761e0e1a111ab64153ea281d60a6caa54efe9716d8236c,ed1992f0c40aa77e8dfe896e418847c1a8dacbf5d62fe652081488668ec0ce0b
E3,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,39085975.33552836,1315.046172,308fd2c3fe09097ad70aecac095e0c199dbe3a8fe3cd42ce2d702c32b22030a3,77bbaab5d91fa713ce51596b63a4c98a13864b92698d40e60448e6ffd7c61067
E4,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,20283540.96578474,1342.734521,c398f8a7ec5766f691409993b8b4b00b853640e09e9a77b1da99a56318596661,4007d920941a436983ffb4d666b86a66a43ff8536e1c974804803e3a0203aefb
E5,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,41958586.04017689,1359.965652,e87e9d8014bf259f2f7293b9886b05a304835a0edd7d311adc6a2669fa3019ba,af1c850efcde41f0e196dad56ed5085cd571c5a60225c94c4ad2c0f1cf0489bf
E6,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,55365749.81717433,1461.006477,fb4f18f0b6ebe836453fccc5b8fa96c9e2a2c387dcf23300ed71445df26d66bb,c21335fddf02a49918504354b2ba241b2f1aea8c939e719031bd98769dd4bc6e
S1,119,smp,complete_zero_relation_blocks,180000,2820000,3000000,8.469192014505249e-07,1277.127347,ec2e328035a09b05f687da23be0a7cd19ef6594c046eb739179c7ff42786b6ff,0d075003920368adf74b0f0892e5e1ff63d9275e086c4c92b0608606a5d5b3c2
S2,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,23146.606132215802,1219.022195,307a410f1b248bcaf81d0b5ff0c254e05d05ad876ecff9763a82c061215b76c1,40476a66df34b783afa6cee92e02b2da4082fa93acb16a58e24164fa4e108d24
S3,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,15402.364997111818,1259.54894,fa178f60cf3a124bf3d7d3d75d545251402bc9fe10e921cfb208715570c93708,54bb66136967ff6475b8c809821fd4f6053671b3619d38579bdc2d0ee200df5c
S4,119,gcb,complete_connected_relation_graph,180000,2820000,3000000,28194.26102535015,1270.782741,144d1cd04b6fc59e256d8f9e755d26f6dfebdd6dd5bd8ece3d0ff69a1403594b,9d0cf3902626a860b82a1fa7d2747a4678494ce1b5ec170000c3238efee3763a
