case_id,run_seed,selected_action,phase1_fes,terminal_fes,final_error,elapsed_seconds,checkpoint_hash,action_result_hash,receipt_hash
A1,20260745,smp,180000,3000000,77693.65238385802,2010.976539,ba4ef32b6ce390a9b8d24e9fd206068a385102ec9d4fd68f70e834b52c8ec59f,1625e989115eda92936b996d28e23148cbf2bcce267cf76e0657964c2ad52ab4,f171e83fe13f6b3c308b6a65982d441744330e888af7bdaa8f15c432dcaef9fa
A2,20260745,gcb,180000,3000000,78135.49819880552,1333.970032,9b0d9f4eb1c554d198ce351194fef6004771cb27ce99b38a6051a3fbe72b280c,649d0e0156fd6056929f23fab45d15e568718e56392430e37782050c1b59c1a1,2165160f54c063c9327af2b6d511d96880998c8359c53fe8781d8a67e76099ed
A3,20260745,ctp,180000,3000000,79018.33134404919,1220.180876,d42a49b9169f08dec4143e399ec6d9710058fc9dea513782b55ce94f41a0460d,9d259b26af5b43c5b39c028d67d6d8e1868fa80eb129ea74d739ad4ac79d9052,2666236f8c6453cf4dc0b0031dae2c8fea7c1de9e815c261953943c49d515d59
A4,20260745,ctp,180000,3000000,79132.2099911379,1238.01265,f5b391d18005fea6de3744e3230de862587f5f880f619404b82cb6cb31917d2e,bec886ce5143d1f4da2e3aeb61b731ade2819ac323b75aa4b89c44d6bd9c10cb,695894982d7105c02ee2e476d502d0205f1c2c69f60f212160d20bc2240c235e
A5,20260745,gcb,180000,3000000,78442.95952566873,1394.740667,c49e5241c9b41f3f79fba0f52591b7dd10443b17671608e386eb0e9de9d2b1ad,68318816fc901129e53525c5314109b5862fba5598f19f603c6a76c3e2210252,0744b0fc887889fdc7f55f8341a5cc56b75cf787f3b66d12df0feec89ff36bc8
A6,20260745,gcb,180000,3000000,78097.87181194343,1427.583262,ccbd00e039dac3c98e0ce6ceb993243db09d9dffa9d56aff72f0ffc1cc1f6db8,7b9f958452c9a6f674b7689e05ff257bc9faa2d13b78c142874923325fef750c,6aa39c55c4cc42efdbf23e2a9f707c72430484f0efa1a213c9a0a690fb148bec
E1,20260745,ctp,180000,3000000,10116773.484905517,1090.976417,6f5e344c4c1b1c311209f85af65f244a53fc158799e274e52c0c05f3be9e735b,77953c7717f2277682b594277b57335509193881e4ba464987ff4c2436ac0e08,5ec6ad8942765d38a5878919b5a5c3d35e7ac44b6c3e04dabf9a4696a4117209
E2,20260745,ctp,180000,3000000,8984780.817287687,1101.231109,ccc7667a4fa5451ed2ef09d512bbcdc3a64e1f53dc7dfe444c901389cde7cfff,34fe9ced5938e996aa9099fd32368775da69fc7bf7fcf75022408ac1d55209d8,80609f2708dafcdb4013c6e9878f56158bb73184f485c1bd76b814b7cd191f2e
E3,20260745,ctp,180000,3000000,9979422.372974621,1127.093799,3cc68b686685f3736fa2ecdc43c83801dbd7b9905e5e2cdbadd621ca8206d230,820d1297ab4ba4baf573fa68423629f193b3faccae6f816037e08ae21136d5a2,54327dec486a4fae88df33c538b915b94715fda14c25259c8034f862b8bd9e7e
E4,20260745,ctp,180000,3000000,9926042.642582567,1145.449237,bc76129a8965d170e318d4624f991aba0f6309118be0c46b514ace5ed8bbec0b,01664480573c767732978824329e800106135f07d53230b63f3e0842abd73972,44000f012896d36ca343ac81f7848d0005b81a53c6e2255df4fc2b71f5d80bf7
