case_id,run_seed,selected_action,phase1_fes,terminal_fes,final_error,elapsed_seconds,checkpoint_hash,action_result_hash,receipt_hash
A1,20260745,ctp,180000,3000000,77704.78202008399,1758.097688,a242da094ca697a9a6a966e02e1497d979df0a50be2b69b1e34914a1b1b16a10,609608be93d2b7db23cfa545899be8382b854a0794f716a8f9b1c8e4b9290832,99451153721feddd06ff163f4e3b51500f921cb3eb912df24be5ac381e69cd17
A2,20260745,aor,180000,3000000,78170.3844429789,1138.170626,0e2a3bb945ec4451b9c503dddcc6984132226e3c981d16f1161da75cbadd8dd0,dbce9c1b3ac63b93afdf413167ec7c5ea556b82c8600dad6e7facca10b775297,d8b50d00256e90f7b28b06c1abaab73f6981143fbd73fd17acf09fd7b2c03cbe
A3,20260745,gcb,180000,3000000,78164.19841240704,1300.167544,675a3362a4ef7f28128cb2c115ecbdbd3d91cbe0bc4ee1a437cf100c783afa48,f525cfbcd3053b143c03b0a183d072e666e3a213f8bd9c367654f7a96dfca683,7dbf733926a1fc70db7fff282041477f2e01c4fd69bf64ac3a6405b4aa9b248c
A4,20260745,aor,180000,3000000,78130.52883417942,1173.115983,66de3fe16bf55c1c70ed76d880972f8d50b73d524f7eb96f798f2208ce55def0,6ce92da5a159590bd663b53edcb3ae5358ec3f8435835c524cefb2993a109294,396bcab83030849bb1a4e25256cd19e01d72dc2b24c53a8e6654f06a82bddefc
A5,20260745,gcb,180000,3000000,78523.87763598473,1324.05087,5c75d77684a43ce2f490721044bac19bf4885561fc6e8aa74ba26afaa58ffca1,12d126b8bc53a6396c6b579b3719f1e0d4ccacc654cb114854adfe6387d30606,c69178cf28cf48f1803141616afa72d8e89947be9b4e7d19bbd5bc2712f04fe0
A6,20260745,aor,180000,3000000,78198.90452481058,1209.303419,f68857bcfaff3520c74751c76a21dae153fa8218851a990e79287f8b6beeede1,416383af7badff0ac28ffac5474c6e478153f28ef58f22d0f4081e08bd6b0098,243cf5040f9a4d4ebb3adfa47db5ba27ce49a2c6476db4c8924c3a13adfe4707
E1,20260745,smp,180000,3000000,587272.4673267715,1658.238242,2a38c43373268652f288fede37e9fe3d72775aebc29c9d1ea931d6b3de1a79ab,68c11d0836b97823e573905acadaaa63497a6afeee756e69f6a84fc1d35e566d,60addca80b41916b83c2276d9938eb9eaedb6c951db29af400d4da0e8b5acaa1
E2,20260745,ctp,180000,3000000,12448532.649227042,1082.534831,89989db1f6e56b4b120c8ea26bab23b12eaf7d31772a2efbbbc6def138628e25,1f367d1474e655fed26f9fa8f4c927c2d506e54199acbe73bce3ba7bd1c80700,165b479a8267cb08056ba2eb0efed2e62ace020d291b6bac268b20c1b09a2bd5
E3,20260745,ctp,180000,3000000,12824972.10326329,1106.015443,eacc22f45f5961b2a6c5a97fc8423785d95298cc4619d45b7856df3c2d70d9e6,af5d877891436a6f77f8672c352d431be1e17d4169a008fc1c32f72c0e752683,91792d9356ee2cfd0f5a6257bb293f9e859eaaa47c5222f55b6e0d2c23f09d25
E4,20260745,ctp,180000,3000000,15699074.661174132,1124.266267,02b6120376b538afd5c0b5c41e9640f343f2ee17605875afbeaa5a7599982e26,a62322f8b513df9370da54f5919e6571944014605f0ae1a54f484349a292aa7c,4905e7b06d966926abd59cbbadf4d8327b7a1b21999a62076c3d55cf6b97db66
E5,20260745,ctp,180000,3000000,13868140.404586468,1135.345691,fb16ced5e69a46e4adf0c6ccd6332431e1e0a20bc5a0556ffeffad6cd00d3c7b,2c5c3d79e511dd6bb0700f4cd965d950d374598ba41187cc5aa65ccc4d768513,0f567def21ca0a923a5c4b22d9b3c67009acdc56c8eb0d31a597985026d83ce7
E6,20260745,ctp,180000,3000000,8679404.560563141,1165.261958,b1ff62986ed10e45a432f77972c08397e2fd0e25dcd34165c50465433735f864,775d4737aeb35095b85cc8c39f8c94a4f7f1b432bb3fac0a627968d0c22742ed,6bb7bba71819a9c4a13f6e4f929bd7a8c2954a438e0586a7c66755e56a8a7a29
R1,20260745,aor,180000,3000000,226111.50952548432,1035.402499,55c113f14836c9ffb33f35e13ab9f719cc5f5e9c23dbeaea91e8fae169da2e56,7503b45022e7ee67532a43183c128eeb5cf9c1b9e3b4f45cd529850650384edb,00575f7b6d861974f709e1ff75eaf45a55cc4897d86967829efde4ab990dbb27
R2,20260745,gcb,180000,3000000,312314.8191058031,1199.985883,7032a2007472be79b3e21d7e57d62584be78903a6466ede79c6544e93e56d8d3,dedb9611032f1849e7cddbc7b5cd4ae8b62d386e754b715a6892a1d81da6bc6c,0dae7c9d3d16b0f2f9bad6f3742b71409fe0ee84629e2a7a7b20ba6a95bfc6ed
R3,20260745,gcb,180000,3000000,326511.0577693558,1220.488401,edb5c017863aa6fd8f712b2fada54d6cd31a9c88e2addd9887eb140b4edb6096,c5c7616bc690c50bebe94d417ccc5880f6a3ef050d0f19ec3bfcbff1a7198ca5,cb0b9a2698cb6e31b7d8ea5557f15c44d1380167601bfa1c5e7d22cda147973e
R4,20260745,gcb,180000,3000000,292925.3012776381,1229.470383,da865e86aa9154fc61219ddc6fb2505275372d207ab449ffd7d015d452056b89,bf3ffd3b353d9131efb40c721146c081dbb17534e12118c700163899d7d3e8e1,93c4d81a138544499afe162aa00eb5fb96ce99c579e769795dfe18e70a9c1cca
R5,20260745,aor,180000,3000000,419004.00738108426,1105.195238,35045fea66cae7e172f4c662d4569371dda59611bed09d7959fe43415e352c6d,e86bb34a3aefa1854356712a072492db097aee9c38649a152446e384e4779a5d,34e93e79e6488ad33410db6ded21fccb7917bea079adf1aefe83c06f19a541b9
R6,20260745,aor,180000,3000000,401276.95171133976,1136.690228,647792a146a31cca0867f22463ba98fa6f4c8dd0f13445d57b7fbba0b8883678,54922733f43d3c556bb0f74120e9b23e658f02849045bb06ef7379caadb063b6,13b5f2ea55cfcca7f11539d958e12c537c42ce83f4c5477276b1909d2a4be801
