case_id,run_seed,action_name,phase1_fes,terminal_fes,final_error,checkpoint_hash,action_result_hash,receipt_hash
A1,117,aor,180000,3000000,78226.67936445617,637dd63cfa2f19a1b69c568efcbf351d3089a7a7412d999ee0d9cdd964022270,88d25deecac5c654b3ac190b7c26a9b79a8c6b89caefee3d0afd1d13e91ccf39,5f5ba977e6355b9787e8cf5c0fe8d66c169a53828619454d8f0a3255c7d68a88
A2,117,aor,180000,3000000,78024.98940948596,cc7bb7ec28e1937d070e905eb332b676485a4038e2590c54203359a7129a8cd2,d2fb611af390749f6e433a33f13c69fb2561fb59bda4170f9139cb1adc79c212,e199b6a5c470904d7923ac4c0181e1553006195bfcad5b9388eebf83e9f255a3
A3,117,aor,180000,3000000,78328.11797281636,3370a68978196f3fe39d726bcbba9de2c782611413ae08d2fc7c84da4b9f6d27,b793ecd3e17e17e75babec3b7391ac000303d26083f1f895e02de4f8a66dc8e6,62ca10bed4c0857470d18ce13e78db62136cff6038c4c6cd7e16955eed8e31e1
A4,117,aor,180000,3000000,78170.02594490789,d4bfa66343d844c063610822bdc8e71420a1d1364f512550a08a105ee81ec397,c9fab83de8825f47a2c42046c65cffd99e215c1bca7b7dd5ab8a20f081738662,438871041aa2e676198449802fa142f6ee3fa3833f78c1ab39d1987dcb24dde6
A5,117,aor,180000,3000000,78386.78110061024,46db7c266d1a469cca8862c5d4a20a1f3eec503ddf4f5a7500294a148f7e91b7,c7d32886305540abb2455e4f99c01491a710e54ce149a08e7d65d214d7fcf7cc,3df074e6c24da247193fcfaea3f585067ffeb6b84842c852bd35476da85fdaa8
A6,117,aor,180000,3000000,78030.59537125939,a0d15a7f3d5930ecac7bac3792f545e89319ab430a82b1e387f872a72b6f254b,4cf46a843a9823d35961175a1626d810d8ffc66f56e4ce08cf1976f7cc04c692,573c13fbbd5d344d72ef1b5dc99206439803b04d4fc7b37ce675845c87583498
E1,117,smp,180000,3000000,72195.19251439234,7007e3ecdecc81efb6edad1eca521bd06e8cd9bf18fd7fec61db20b4801ac486,1b0345d6ede50a23673a368291a2f2bb38b3079a5b994ea5b1eb553bd4711b45,f9ac42ec879259fff02643d70b92df865c7e33439ce894002439f83a6781060e
E2,117,smp,180000,3000000,4985990.074182124,bd8727aebf1c721d5a88a5415627fc54e2a494d0846846e8d67b303a51fa76fe,17bc33422a2b1b2660675fd1cd6f7c8c63d3979fc2e4edbe4cfb06f07d884332,d2632062ec5880faf1e6a815037659670e74cd097f8c66827b3d90e67661bfd4
E3,117,smp,180000,3000000,5244835.507959322,f00e18942a80c61c2dbf679d23aae2311c7e2e1e207b10bea40bd8affdda9af2,23dd92a45520e3176046bd667b294c8ffc217c04f53ca6ed732095d5e09fbd78,e37096c39fa37788225d217c8f3b89c4971eb424a56bb3f63cd7ffe263426c52
E4,117,smp,180000,3000000,7670807.703334607,f908b91edd4b20a40eef153797c0b046af8f7de71e218744096e9d0fb86e2f3e,a46977ae2d55c5a45184ff8f38f516b1a415e2ab8ae7fc41cfb6c3a86e069a6a,7db1c9c3523d998e64b0e98026411eac6d7101acdee119acdad4e79326d33963
E5,117,smp,180000,3000000,9826326.021761362,14f18bf9b7e5963263d64f0b36010d78f4e1be513c123f1178955ce748c24993,2af4b7a564dec758a3fabc7a84bfdd86bd605d67748a0e06a5963780f0a0e1fe,2abe48047e5c30bd235547a5abec3d9263ece93d8f9e5ddee74ebb6479848a4c
E6,117,smp,180000,3000000,15325806.105876487,369d451c0bbfd44c2d83349334f83193e8e562437f1877bb859646e75d45b075,8974ab484f1a054af69496923e5fd0a9250f13c06019b0b440ff788c897201dc,8f81261245d5108fe078b2e8cb6ffb4271f1bad6260c3218cbf72c03b5c05aa6
R1,117,gcb,180000,3000000,172257.91675072524,9bbda93d2e42cb9ab5d3900a928a72359200d7981a9c0ffb570a31c298ab6d7e,f61ad7e9638e312818c9cb71417c8367cfed9b85911b213362dc0fd1e73c5d37,a3012e3aae54049e5c3f4ec34bd87dda60b78b1f5ed415b67d87e3c2df826993
R2,117,gcb,180000,3000000,210493.839903218,02d8a2d691b7ec74a5fc00eb0050e7ccc6581e193d2409a051783a288ac11a6c,878717d434b00cbce4a029cd9e8169a5716a59ac9b2ebc3d44ca31c52a1af41a,3aabda50de78e356646e86693a2da061a44c57f5b9b7359f5af9311fb5739831
R3,117,gcb,180000,3000000,255048.5388032888,be90409b3fbdc007a487aba9ee9ac8676c76844f6a5b913bab32e02a23cd7ec2,5b80a2914da407b4ccf899912b8abddb141fdf0c1e2c2989a338db80cfbb4017,a0992dfe5e9a420af53e0bbdf5c88dec17d4fac504e3c249d42eaa8fe25e0e18
R4,117,gcb,180000,3000000,273241.3064777297,0032e6571ab03a13f15bd66ab84b06d69073e03f5c4d11ee225d2e8392c96821,efd921414ff5cbcfa0ce641015d6dbe69425d58a4c270867da781500cfadfa6f,6d54f9f9d7fc8ab59b2eb14f3e632dce4c2287a62aed577195ab554cf77c02cd
R5,117,gcb,180000,3000000,375603.32909737696,9930fd657c58fe3f2a879cf364f1b115a37cee68f9704fbd154b4cd2e5300aea,b486d63df6de179441df48ddf0954e0487e72c2d4ababd4c77251c4bb46b99ba,dc7c0f27a024fbc27af9796e939e2347db0c7d62efe46f36ecab7b9f89efe9db
R6,117,gcb,180000,3000000,351019.91517908056,66f1e1bb1bd641615b80002621646dc654af4caa857c264e1e2cca6800060a9e,4b0e0fb12f70e76052c6ff26a0a05bdadc7d9ffac8f7438709709c3c30e90134,e18d22e89343fc56adaa59e4fec97dc89f9f9b57f50addd443aaa84c9eca0cfd
S1,117,ctp,180000,3000000,5.168148355100764e-07,7e7e9fe47728a789c6829c8f3c1940865c6f846c787bdcf094692be1905a8270,7febadc47cac60713dfc652b6bb4179ef384d60adc1a4469c5bc3d599e9e5e6d,16f84757d47adc0228e74aabc64598bf6e01a24fb07c9b453a1bc3df350245e0
S2,117,ctp,180000,3000000,203.66281875439554,3fd6bb3d48a015e2502d6cbaf7da0be1f33a573f7036911e2a03745b1d4e373f,566d5d19a1d26a544b3f35a58313ee18dc5a9cf7d496364d5aaf4d5f8b317f5d,f8828ac223de6ff1cb8a352fea6c0f3891e45856cc50eb0d0bab803906541c63
S3,117,ctp,180000,3000000,68.63672369597613,704d2709df1ecd2ea836ab48b4233e066eaae16ed2717065455736818aba08cc,3a75c6d717451f3b6d877898c70f20f80327ecb2e60b0146a9abd2ea2b7fed0d,8c60210050130db4f44c19a599d9c76de089b2000900192387c6d1b1702a7ffc
S4,117,ctp,180000,3000000,7337.065902046248,59cf961783b4eb38c7edb26b8814d318b6948cd1fa8407a7e7ec00b11d885cd0,57311551b010051f8d5ff7884eb25e1acefc4a31683183929325b06a374f7b8e,c0d31a9252e6656d4e304ab08cd361b16e7b397bc2f6529df9116a6451222d1b
S5,117,ctp,180000,3000000,4079.4455651832886,da98958a8d23a79e333a8702950c124efb9230ffec4d2a900369ca79cdbc9c6d,1ab5edeca7d8ead1321f6fdbe633345ebf29f82665c1bf6fddd0a77ee66b5a51,102d45181952f9951cc525018652df9fc16424a29a7d64fda3140be99236a8d9
S6,117,ctp,180000,3000000,8447.533916367323,4c1c0a1377a2d1dc17cd5b313fba8a32dff0083464f6a8053326b5252bda419f,8b26bae76a458d3bfeb6b8fdd2a9d8c29a95e12267c2c7ae3a228ed7a2eecb84,19f6e8e52a1bd34f948d390114389eefbcf6b4ee0cb958f21473163c45d7d5d7
A1,118,aor,180000,3000000,78202.80645470285,474ed2e407f0c727f26c7a0f9d9d4289194ed5ccaca4524097b03e8eba367155,eddf717c9bef3e019ae8fd659179b26a64656bb2d04d0b9aaa0b9ac751c45c14,b50f4e16608137df90c0d33c8e2b30fe13587d2e2b94f1f366c6346f1870cee4
A2,118,aor,180000,3000000,77942.35735021943,3824786f98dd0d74409dca505f88503f34d0dbfbae53e07c42e14ed6205ce58c,6a21023ed438fe1ffe8a66f63bf6b0deccb6a14e591356d5877ea67ea9ee935a,941c6f39e311ccfd34c709b2d7d6d2f274685b7667524620deb268d713569050
A3,118,aor,180000,3000000,78109.2221320033,7d1591029a90f426a6ab7ff00fe920059f3af4d3081606a0cdc7d0c000629026,f7603d5c86abc44f3214067ab60f4601936dfd40f26f6bc85eac1639cf423bca,614b80b8faa1054ff1a6ff722f6eb43704dd20c85ef94202910d6c9a941abe98
