case,action_dispatch,mean,std,n,historical_arac_mean,hcc_mean,better_than_hcc
A1,aorx25,7.804E+04,1.223E+02,25,7.800E+04,7.760E+04,False
A2,aorx25,7.806E+04,1.044E+02,25,7.800E+04,7.810E+04,True
A3,aorx25,7.807E+04,1.125E+02,25,7.810E+04,7.860E+04,True
A4,aorx25,7.817E+04,1.091E+02,25,7.820E+04,7.830E+04,True
A5,aorx25,7.844E+04,6.774E+01,25,7.840E+04,7.850E+04,True
A6,aorx25,7.806E+04,8.406E+01,25,7.800E+04,7.800E+04,False
E1,smpx25,6.753E+01,3.376E+02,25,5.690E+05,2.840E+06,True
E2,ctpx25,4.082E+06,7.268E+05,25,5.620E+06,6.870E+06,True
E3,ctpx25,5.877E+06,2.117E+06,25,1.340E+07,1.600E+07,True
E4,ctpx25,1.032E+07,3.787E+06,25,2.610E+07,2.260E+07,True
E5,ctpx25,1.109E+07,3.041E+06,25,2.980E+07,7.760E+06,False
E6,ctpx25,1.519E+07,3.458E+06,25,3.190E+07,4.320E+07,True
R1,gcbx25,1.641E+05,1.969E+04,25,1.560E+05,1.740E+05,True
R2,gcbx25,2.175E+05,4.300E+04,25,2.240E+05,3.720E+05,True
R3,gcbx25,2.885E+05,4.776E+04,25,2.690E+05,5.060E+05,True
R4,gcbx25,3.299E+05,6.714E+04,25,3.150E+05,5.590E+05,True
R5,gcbx25,3.412E+05,5.723E+04,25,3.340E+05,6.840E+05,True
R6,gcbx25,3.823E+05,6.739E+04,25,3.610E+05,8.150E+05,True
S1,smpx25,3.966E-09,1.973E-08,25,1.040E+00,1.920E-03,True
S2,ctpx25,3.943E+02,4.145E+02,25,8.120E+02,5.580E+03,True
S3,ctpx25,5.982E+02,4.145E+02,25,2.460E+03,9.720E+03,True
S4,ctpx25,1.811E+03,1.180E+03,25,5.110E+03,1.240E+03,False
S5,ctpx25,3.998E+03,2.800E+03,25,8.380E+03,9.230E+03,True
S6,ctpx24+gcbx1,3.257E+04,1.361E+05,25,4.180E+03,6.650E+04,True
