old_path,new_path,category,source_state,action,git_policy,verification
HCC_SRC/,vendor/hcc/,vendor-source,tracked,defer-to-task-3,keep-tracked-after-approved-migration,backend-root-smoke-and-git-diff
experiments/exp_001_schema_smoke/,experiments/pilots/exp_001_schema_smoke/,experiment-pilot,tracked,defer-to-task-5,keep-tracked-after-test,pytest-test-exp-001
experiments/exp_002_aob_1run_pilot/,experiments/pilots/exp_002_aob_1run_pilot/,experiment-pilot,tracked,defer-to-task-5,keep-tracked-after-test,pytest-test-exp-002
experiments/exp_003_hcc_runtime_consumer_smoke/,experiments/pilots/exp_003_hcc_runtime_consumer_smoke/,experiment-pilot,tracked,defer-to-task-5,keep-tracked-after-test,pytest-test-exp-003
experiments/exp_004_hcc_main_historical_result_recovery/,experiments/recovery/exp_004_hcc_main_historical_result_recovery/,historical-recovery,tracked,defer-to-task-5,keep-tracked-after-review,offline-boundary-test
experiments/exp_005_hcc_final_protocol_pilot/,experiments/final/exp_005_hcc_final_protocol_pilot/,experiment-final-pilot,tracked,defer-to-task-5,keep-tracked-after-protocol-review,final-pilot-test
docs/core-method.md,docs/design/core-method.md,design-doc,tracked,defer-to-task-6,keep-tracked-after-link-check,link-audit
docs/boundaries.md,docs/design/boundaries.md,design-doc,tracked,defer-to-task-6,keep-tracked-after-link-check,link-audit
docs/aob-final-evaluation-protocol.md,docs/protocols/aob-final-evaluation-protocol.md,protocol-doc,tracked,defer-to-task-6,keep-tracked-after-link-check,protocol-test
docs/aob_13_historical_win_mechanism_gap_audit.md,docs/audits/aob_13_historical_win_mechanism_gap_audit.md,historical-audit,untracked,review-only,do-not-add-before-review,manual-source-and-claim-audit
docs/aob_24_historical_best_results.md,references/historical/aob_24_historical_best_results.md,historical-evidence,untracked,review-only,do-not-add-before-review,offline-boundary-test
docs/aob_paper_best_win_replay_matrix.md,references/historical/aob_paper_best_win_replay_matrix.md,historical-evidence,untracked,review-only,do-not-add-before-review,offline-boundary-test
docs/aob_table2_perf_with_arac.docx,paper/tables/aob_table2_perf_with_arac.docx,paper-table,untracked,review-only,do-not-add-before-review,document-review-and-link-check
docs/arac_action_guided_cc_manuscript_draft.md,paper/drafts/arac_action_guided_cc_manuscript_draft.md,paper-draft,untracked,review-only,do-not-add-before-review,manuscript-review
docs/arac_action_guided_cc_manuscript_draft_zh.md,paper/drafts/arac_action_guided_cc_manuscript_draft_zh.md,paper-draft,untracked,review-only,do-not-add-before-review,manuscript-review
docs/flyki_12_historical_best_results.md,references/historical/flyki_12_historical_best_results.md,historical-evidence,untracked,review-only,do-not-add-before-review,offline-boundary-test
docs/hcc-focused-ablation-5000fe-summary.md,docs/audits/hcc-focused-ablation-5000fe-summary.md,experiment-audit,untracked,review-only,do-not-add-before-review,audit-source-review
docs/hcc-focused-core-profile-summary.md,docs/audits/hcc-focused-core-profile-summary.md,experiment-audit,untracked,review-only,do-not-add-before-review,audit-source-review
docs/hcc-targeted-ablation-pilot-analysis.md,docs/audits/hcc-targeted-ablation-pilot-analysis.md,experiment-audit,untracked,review-only,do-not-add-before-review,audit-source-review
docs/superpowers/plans/2026-07-06-flyki-smoke-adapter.md,docs/superpowers/plans/2026-07-06-flyki-smoke-adapter.md,engineering-plan,untracked,review-only,do-not-add-before-review,plan-scope-review
docs/superpowers/plans/2026-07-07-arac-guarded-final-protocol.md,docs/superpowers/plans/2026-07-07-arac-guarded-final-protocol.md,engineering-plan,untracked,review-only,do-not-add-before-review,plan-scope-review
docs/superpowers/plans/2026-07-10-canonical-runtime-action-controller.md,docs/superpowers/plans/2026-07-10-canonical-runtime-action-controller.md,engineering-plan,untracked,review-only,do-not-add-before-review,plan-scope-review
experiments/exp_006_flyki_adapter_smoke/,experiments/ablations/exp_006_flyki_adapter_smoke/,experiment-ablation,untracked,review-only,do-not-add-before-review,ablation-test-and-claim-audit
experiments/exp_007_flyki_cbocco_runner/,experiments/ablations/exp_007_flyki_cbocco_runner/,experiment-ablation,untracked,review-only,do-not-add-before-review,runner-and-backend-review
experiments/exp_008_arac_guarded_final_protocol/,experiments/final/exp_008_arac_guarded_final_protocol/,experiment-v33-candidate,untracked,quarantine-for-review,never-enter-stable-runtime-without-v32-gate,protocol-and-catastrophic-loss-audit
Large-Scale-Overlapping-Optimization-master/,references/external/large-scale-overlapping-optimization/,external-source,untracked,review-only,do-not-add-before-provenance-review,source-provenance-and-license-review
references/aob_13_historical_win_mechanism_gap_audit.csv,references/historical/aob_13_historical_win_mechanism_gap_audit.csv,historical-evidence,untracked,review-only,do-not-add-before-review,offline-boundary-test
references/aob_paper_best_win_replay_matrix.csv,references/historical/aob_paper_best_win_replay_matrix.csv,historical-evidence,untracked,review-only,do-not-add-before-review,offline-boundary-test
references/aob_table2_style_corrected_results.csv,references/paper/aob_table2_style_corrected_results.csv,paper-reported-table,untracked,review-only,never-runtime-input,offline-boundary-test
scripts/build_flyki_cbocco.ps1,scripts/build_flyki_cbocco.ps1,experiment-build,untracked,review-only,do-not-add-before-review,script-review-and-smoke
scripts/build_flyki_objective_runner.ps1,scripts/build_flyki_objective_runner.ps1,experiment-build,untracked,review-only,do-not-add-before-review,script-review-and-smoke
scripts/flyki_gcc_compat.h,scripts/flyki_gcc_compat.h,experiment-build,untracked,review-only,do-not-add-before-review,compiler-and-license-review
scripts/flyki_objective_runner.cpp,scripts/flyki_objective_runner.cpp,experiment-runner,untracked,review-only,do-not-add-before-review,runner-review-and-smoke
src/arac/benchmarks/,src/arac/benchmarks/,runtime-benchmark-adapter,untracked,review-only,do-not-import-into-v32-stable-runtime,package-boundary-and-regression-test
tests/test_exp_006_flyki_adapter_smoke.py,tests/test_exp_006_flyki_adapter_smoke.py,experiment-test,untracked,review-only,do-not-add-before-review,test-review
tests/test_exp_007_flyki_cbocco_runner.py,tests/test_exp_007_flyki_cbocco_runner.py,experiment-test,untracked,review-only,do-not-add-before-review,test-review
tests/test_exp_008_arac_guarded_final_protocol.py,tests/test_exp_008_arac_guarded_final_protocol.py,experiment-test,untracked,review-only,do-not-add-before-review,test-review
tests/test_exp_008_arac_guarded_final_protocol_cli.py,tests/test_exp_008_arac_guarded_final_protocol_cli.py,experiment-test,untracked,review-only,do-not-add-before-review,test-review
tests/test_flyki_benchmark_adapter.py,tests/test_flyki_benchmark_adapter.py,experiment-test,untracked,review-only,do-not-add-before-review,test-review
results/,results/,generated-results,ignored-generated,index-only,never-track,git-check-ignore-and-results-inventory
