case,mean,historical_arac,hcc,ratio_vs_historical,better_than_hcc
A1,78036.14664871129,78000.0,77600.0,1.0004634185732217,False
A2,78059.67560834873,78000.0,78100.0,1.0007650719019068,True
A3,78065.04156919967,78100.0,78600.0,0.9995523888501879,True
A4,78171.36529251466,78200.0,78300.0,0.9996338272700085,True
A5,78438.94299422253,78400.0,78500.0,1.0004967218650833,True
A6,78057.02044744136,78000.0,78000.0,1.0007310313774533,False
E1,67.5254020996173,569000.0,2840000.0,0.00011867381739827292,True
E2,4081650.722596496,5620000.0,6870000.0,0.7262723705687715,True
E3,5877085.622435442,13400000.0,16000000.0,0.438588479286227,True
E4,10316939.37059658,26100000.0,22600000.0,0.3952850333561908,True
E5,11092677.587158293,29800000.0,7760000.0,0.3722375029247749,False
E6,15194152.24176334,31900000.0,43200000.0,0.4763057129079417,True
R1,164060.4238072867,156000.0,174000.0,1.0516693833800428,True
R2,217457.64338249565,224000.0,372000.0,0.9707930508147127,True
R3,288493.73305031564,269000.0,506000.0,1.07246740910898,True
R4,329924.9995049542,315000.0,559000.0,1.0473809508093783,True
R5,341159.7224463928,334000.0,684000.0,1.0214362947496791,True
R6,382319.3460513248,361000.0,815000.0,1.0590563602529772,True
S1,3.9663821975901234e-09,1.04,0.00192,3.8138290361443496e-09,True
S2,394.3255194414767,812.0,5580.0,0.4856225608885181,True
S3,598.244801663244,2460.0,9720.0,0.2431889437655463,True
S4,1810.7564629199073,5110.0,1240.0,0.3543554721956766,False
S5,3998.487817020498,8380.0,9230.0,0.47714651754421217,True
S6,32568.81302146743,4180.0,66500.0,7.791582062552017,True
