case,DG2-CMAES Mean +/- Std,Random-CMAES Mean +/- Std,RDG3-CMAES Mean +/- Std,RDDSM-CMAES Mean +/- Std,Sep-CMAES Mean +/- Std,LM-MA-ES Mean +/- Std,LMCMA Mean +/- Std,MM-ES Mean +/- Std,HCC-ES Mean +/- Std,ARAC Mean +/- Std,best_method
E1,3.15E+06 (+) +/- 2.14E+05,9.80E+11 (+) +/- 1.53E+11,3.13E+06 (+) +/- 2.43E+05,2.88E+06 (+) +/- 3.12E+05,5.62E+08 (+) +/- 4.51E+04,3.81E+08 (+) +/- 6.44E+04,8.69E+07 (+) +/- 3.43E+03,1.60E+07 (+) +/- 4.21E+03,2.84E+06 (+) +/- 2.35E+05,5.69E+05 +/- 1.57E+06,ARAC
E2,2.27E+11 (+) +/- 1.31E+11,3.56E+11 (+) +/- 1.01E+11,6.72E+08 (+) +/- 4.15E+06,6.34E+08 (+) +/- 5.24E+06,5.43E+08 (+) +/- 6.23E+04,3.40E+08 (+) +/- 2.39E+04,9.54E+07 (+) +/- 2.77E+03,1.77E+07 (+) +/- 5.78E+03,6.87E+06 (+) +/- 4.73E+04,5.62E+06 +/- 3.78E+06,ARAC
E3,2.38E+11 (+) +/- 2.03E+11,5.45E+11 (+) +/- 2.78E+11,2.02E+08 (+) +/- 8.46E+06,2.07E+08 (+) +/- 2.53E+06,6.97E+08 (+) +/- 6.84E+04,4.32E+08 (+) +/- 3.42E+04,1.40E+08 (+) +/- 9.37E+04,1.99E+07 (+) +/- 7.55E+03,1.60E+07 (+) +/- 5.62E+05,1.34E+07 +/- 5.20E+06,ARAC
E4,2.70E+11 (+) +/- 7.93E+10,4.75E+11 (+) +/- 3.44E+11,6.35E+09 (+) +/- 5.10E+06,4.86E+09 (+) +/- 4.81E+07,4.89E+08 (+) +/- 7.23E+04,4.89E+08 (+) +/- 5.53E+04,1.13E+08 (+) +/- 2.77E+04,1.90E+07 (-) +/- 5.45E+03,2.26E+07 (-) +/- 3.04E+05,2.61E+07 +/- 9.35E+06,MM-ES
E5,2.86E+11 (+) +/- 1.75E+11,7.23E+11 (+) +/- 2.53E+11,1.29E+10 (+) +/- 4.11E+07,1.10E+10 (+) +/- 6.23E+07,7.45E+08 (+) +/- 5.31E+04,4.61E+08 (+) +/- 2.31E+04,1.63E+08 (+) +/- 3.09E+04,2.48E+07 (-) +/- 4.29E+03,7.76E+06 (-) +/- 2.13E+05,2.98E+07 +/- 9.18E+06,HCC-ES
E6,3.20E+11 (+) +/- 9.22E+10,5.19E+11 (+) +/- 1.21E+11,3.88E+10 (+) +/- 3.22E+07,3.42E+10 (+) +/- 1.69E+08,7.92E+08 (+) +/- 3.07E+04,4.71E+08 (+) +/- 4.02E+04,1.44E+08 (+) +/- 4.14E+04,2.62E+07 (-) +/- 2.37E+03,4.32E+07 (+) +/- 1.94E+05,3.19E+07 +/- 6.54E+06,MM-ES
S1,1.98E-03 (-) +/- 5.18E-04,9.67E+08 (+) +/- 1.13E+08,1.37E-03 (-) +/- 4.23E-04,1.46E-03 (-) +/- 5.29E-04,5.06E+06 (+) +/- 1.66E+02,2.22E+05 (+) +/- 3.51E+01,5.50E+05 (+) +/- 3.05E+01,1.67E+04 (+) +/- 2.14E+01,1.92E-03 (-) +/- 3.82E-04,1.04E+00 +/- 5.12E+00,RDG3-CMAES
S2,4.67E+08 (+) +/- 5.28E+07,1.04E+09 (+) +/- 3.99E+08,7.92E+05 (+) +/- 5.26E+04,8.10E+04 (+) +/- 5.43E+03,2.63E+06 (+) +/- 2.15E+02,2.20E+05 (+) +/- 1.41E+01,7.76E+05 (+) +/- 2.23E+01,1.30E+04 (+) +/- 7.54E+01,5.58E+03 (+) +/- 3.21E+01,8.12E+02 +/- 5.82E+02,ARAC
S3,4.57E+08 (+) +/- 3.08E+07,9.97E+08 (+) +/- 1.21E+08,7.60E+06 (+) +/- 6.13E+05,2.48E+06 (+) +/- 4.60E+05,4.14E+06 (+) +/- 3.43E+02,2.43E+05 (+) +/- 3.12E+01,4.89E+05 (+) +/- 5.13E+01,1.91E+04 (+) +/- 9.47E+01,9.72E+03 (+) +/- 4.75E+01,2.46E+03 +/- 1.35E+03,ARAC
S4,5.43E+08 (+) +/- 2.84E+07,8.44E+08 (+) +/- 2.37E+08,2.03E+08 (+) +/- 4.27E+07,2.88E+07 (+) +/- 9.25E+06,3.14E+06 (+) +/- 5.67E+02,2.54E+05 (+) +/- 4.27E+01,5.35E+05 (+) +/- 7.42E+01,1.50E+04 (+) +/- 1.05E+02,1.24E+03 (-) +/- 5.31E+01,5.11E+03 +/- 3.49E+03,HCC-ES
