case,family,historical_best,paper_best,paper_best_alg,gain_vs_paper_best_pct,seed,fe,source_label,replay_status,replay_lane_profile,expected_lane_id,replay_reason,replay_output_dir,replay_expected_final_error,replay_best_lane_id,replay_best_final_error,replay_expected_beats_paper_best,replay_expected_reproduces_or_improves_hist,replay_same_budget_violation,replay_anti_leakage_failed,replay_result_status
E1,elliptic,2.672356e+05,2.840000e+06,HCC-ES,90.59,4,3000000,mi_arac_action_clean_hcc_anchor_5seed,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
E2,elliptic,2.206362e+06,6.870000e+06,HCC-ES,67.88,3,3000000,mi_arac_action_clean_hcc_anchor_5seed,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
E3,elliptic,7.254322e+06,1.600000e+07,HCC-ES,54.66,2,3000000,mi_arac_action_clean_hcc_anchor_5seed,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
E4,elliptic,1.510332e+07,1.900000e+07,MM-ES,20.51,-,3000000,paper_like_seed1,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
E6,elliptic,2.143181e+07,2.620000e+07,MM-ES,18.20,3,3000000,relation_dispatch_rule,current_arac_replay_candidate,evidence_routed_only,relation_dispatch_rule,source label maps to current exp_005 lane profile,E:\ARAC\results\exp_005_replay_E6_seed3_20260707,2.552380e+07,relation_dispatch_rule,2.552380e+07,1,0,0,0,paper_best_win_not_historical_reproduction
S2,schwefel,3.390253e+03,5.580000e+03,HCC-ES,39.24,-,3000000,paper_like_seed1_current_fix_24case,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
S3,schwefel,7.769275e+03,9.720000e+03,HCC-ES,20.07,-,2700000,mi_arac_action_m179_route_a_s_family_low_risk_same_budget_smoke_run,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
S6,schwefel,1.202600e+04,1.330000e+04,MM-ES,9.58,2,2999994,relation_dispatch_adaptive_v24,current_arac_replay_candidate,evidence_routed_v24_only,relation_dispatch_rule,source label maps to current exp_005 lane profile,E:\ARAC\results\exp_005_replay_S6_seed2_20260707,7.954037e+03,relation_dispatch_rule,7.954037e+03,1,1,0,0,improved_historical_best_and_paper_best_win
R1,rastrigin,1.375464e+05,1.740000e+05,RDG3-CMAES/HCC-ES,20.95,-,2971000,mi_arac_action_prefix01_dispatch_phaseii_policy,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
R2,rastrigin,1.953551e+05,2.480000e+05,Sep-CMAES,21.23,-,2971000,mi_arac_action_prefix01_dispatch_phaseii_policy,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
R3,rastrigin,2.625215e+05,3.280000e+05,Sep-CMAES,19.96,2,2999993,allow_beneficial_coordination,current_arac_replay_candidate,focused_compare,fixed_coordinate,source label maps to current exp_005 lane profile,E:\ARAC\results\exp_005_replay_R3_seed2_20260707,6.862394e+05,fallback,3.654731e+05,0,0,0,0,replay_failed_paper_best_and_historical
A4,ackley,7.825342e+04,7.830000e+04,RDDSM-CMAES/HCC-ES,0.06,2,3001000,mi_arac_action_clean_hcc_anchor_5seed,historical_artifact_only,,,source comes from historical HCC-main/legacy artifact; current clean runner may not reproduce exact pipeline,,,,,,,,,
A5,ackley,7.814522e+04,7.820000e+04,Sep-CMAES,0.07,2,2999999,repair_protect_refine,current_arac_replay_candidate,repair_refine,repair_protect_refine,source label maps to current exp_005 lane profile,E:\ARAC\results\exp_005_replay_A5_seed2_20260707,7.816201e+04,repair_protect_refine,7.816201e+04,1,0,0,0,paper_best_win_not_historical_reproduction
