run_id,source_file,experiment_label,problem_id,base_function,seed,fe_used,budget_match_status,historical_final_error,paper_reported_mean,paper_reported_std,better_than_paper_reported,offline_error_delta_vs_paper,runtime_dispatch_allowed,comparison_role
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\A1\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A1,ackley,1,3001000,near_paper_3m_fe,7.870333e+04,7.76E4,1.25E1,0,1.103329e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\A2\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A2,ackley,1,3001000,near_paper_3m_fe,7.872172e+04,7.81E4,9.78E0,0,6.217234e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\A3\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A3,ackley,1,3001000,near_paper_3m_fe,7.880340e+04,7.86E4,2.09E1,0,2.034026e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\A4\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A4,ackley,1,3001000,near_paper_3m_fe,7.873660e+04,7.83E4,1.14E1,0,4.366011e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\A5\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A5,ackley,1,3001000,near_paper_3m_fe,7.874540e+04,7.85E4,2.35E1,0,2.454046e+02,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\A6\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A6,ackley,1,3001000,near_paper_3m_fe,7.949002e+04,7.80E4,7.06E0,0,1.490015e+03,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\E2\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E2,elliptic,1,3000000,near_paper_3m_fe,3.428987e+06,6.87E6,4.73E4,1,-3.441013e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\E3\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E3,elliptic,1,3000000,near_paper_3m_fe,1.155354e+07,1.60E7,5.62E5,1,-4.446456e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-1\E4\elliptic\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,E4,elliptic,1,3000000,near_paper_3m_fe,2.066882e+07,2.26E7,3.04E5,1,-1.931178e+06,0,offline_historical_hcc_main_vs_paper_reported
exp_004_hcc_main_historical_result_recovery,E:\HCC-main\HCC_SRC\result\mi_arac_action_clean_hcc_anchor_5seed\seed-2\A1\ackley\evaluation_record.txt,mi_arac_action_clean_hcc_anchor_5seed,A1,ackley,2,3001000,near_paper_3m_fe,7.875274e+04,7.76E4,1.25E1,0,1.152744e+03,0,offline_historical_hcc_main_vs_paper_reported
